Segment,End Use,Ramp Efficiency Description,Start Year,End Year,Start Ramp Efficiency Probability,End Ramp Efficiency Probability,Interpolate Ramp Efficiency Probability,Customer Class
Single Family,Lighting Interior Specialty,LED - Specialty,2022,2041,1,1,linear,Residential
Single Family,Lighting Interior Standard,LED,2022,2041,1,1,linear,Residential
Single Family,Microwave,Federal Standard 2016 Microwave,2022,2041,1,1,linear,Residential
Single Family,Monitor,Standard Monitor,2022,2041,1,1,linear,Residential
Single Family,Multifunction Device,Standard Multifunction Device (All-in-one),2022,2041,1,1,linear,Residential
Single Family,Other,Other Equipment End Use,2022,2041,1,1,linear,Residential
Single Family,Plug Load Other,Plug Load Other Equipment End Use,2022,2041,1,1,linear,Residential
Single Family,Pool Pump,Seattle Energy Code Pool Pump - Dual Speed,2022,2041,1,1,linear,Residential
Single Family,Printer,Standard Office Printer,2022,2041,1,1,linear,Residential
Single Family,Refrigerator,Federal Standard 2014 Refrigerator,2022,2041,1,1,linear,Residential
Single Family,Set Top Box,Standard Set Top Box,2022,2041,1,1,linear,Residential
Single Family,Television,Market Average TV,2022,2041,1,1,linear,Residential
Single Family,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,2022,2041,1,1,linear,Residential
Single Family,Waste Water,Waste Water Equipment End Use,2022,2041,1,1,linear,Residential
Single Family,Water Heat GT 55 Gal,Federal Standard 2015 Heat Pump Water Heater,2022,2041,1,1,linear,Residential
Single Family,Water Heat LE 55 Gal,Federal Standard 2015 Storage Water Heater,2022,2041,1,1,linear,Residential
Single Family Low Income,Air Purifier,Market Average Air Purifier,2022,2041,1,1,linear,Residential
Single Family Low Income,Circulation - DHW,Market Average DHW Pump,2022,2041,1,1,linear,Residential
Single Family Low Income,Circulation - Hydronic Heating,Market Average Hydronic Heating Pump,2022,2041,1,1,linear,Residential
Single Family Low Income,Computer - Desktop,Washington State Code Baseline,2022,2041,1,1,linear,Residential
Single Family Low Income,Computer - Laptop,Market Average Laptop Computer,2022,2041,1,1,linear,Residential
Single Family Low Income,Cooking Oven,Federal Standard 2012 Cooking Oven,2022,2041,1,1,linear,Residential
Single Family Low Income,Cooking Range,Federal Standard 2012 Cooking Range,2022,2041,1,1,linear,Residential
Single Family Low Income,Cool Central,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),2022,2022,1,1,linear,Residential
Single Family Low Income,Cool Central,Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),2023,2041,1,1,linear,Residential
Single Family Low Income,Cool Room,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)",2022,2041,1,1,linear,Residential
Single Family Low Income,Copier,Standard Office Copier,2022,2041,1,1,linear,Residential
Single Family Low Income,DVD Player,Standard DVD Player,2022,2041,1,1,linear,Residential
Single Family Low Income,Dryer,Federal Standard 2015 Dryer - CEF 3.73,2022,2041,1,1,linear,Residential
Single Family Low Income,Electric Vehicles,Market Average EV Charger,2022,2041,1,1,linear,Residential
Single Family Low Income,Freezer,Federal Standard 2014 Freezer,2022,2041,1,1,linear,Residential
Single Family Low Income,Heat Central,Standard Electric Furnace HSPF = 1,2022,2041,1,1,linear,Residential
Single Family Low Income,Heat Pump,Federal Standard 2015 Heat Pump - SEER/EER 14/12 and HSPF 8.2 (Split System),2022,2022,1,1,linear,Residential
Single Family Low Income,Heat Pump,Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),2023,2041,1,1,linear,Residential
Single Family Low Income,Heat Room,Standard Baseboard Zonal Heating,2022,2041,1,1,linear,Residential
Single Family Low Income,Home Audio System,Standard Home Audio System,2022,2041,1,1,linear,Residential
Single Family Low Income,Lighting Exterior Standard,LED,2022,2041,1,1,linear,Residential
Single Family Low Income,Lighting Interior Linear Fluorescent,Federal Standard 2018 T8 Linear Fluorescent Lamp,2022,2041,1,1,linear,Residential
Single Family Low Income,Lighting Interior Specialty,EISA 2020 Backstop Interior - Specialty,2022,2041,1,1,linear,Residential
Single Family Low Income,Lighting Interior Standard,EISA 2020 Backstop Interior Lamp,2022,2041,1,1,linear,Residential
Single Family Low Income,Microwave,Federal Standard 2016 Microwave,2022,2041,1,1,linear,Residential
Single Family Low Income,Monitor,Standard Monitor,2022,2041,1,1,linear,Residential
Single Family Low Income,Multifunction Device,Standard Multifunction Device (All-in-one),2022,2041,1,1,linear,Residential
Single Family Low Income,Other,Other Equipment End Use,2022,2041,1,1,linear,Residential
Single Family Low Income,Plug Load Other,Plug Load Other Equipment End Use,2022,2041,1,1,linear,Residential
Single Family Low Income,Pool Pump,Seattle Energy Code Pool Pump - Dual Speed,2022,2041,1,1,linear,Residential
Single Family Low Income,Printer,Standard Office Printer,2022,2041,1,1,linear,Residential
Single Family Low Income,Refrigerator,Federal Standard 2014 Refrigerator,2022,2041,1,1,linear,Residential
Single Family Low Income,Set Top Box,Standard Set Top Box,2022,2041,1,1,linear,Residential
Single Family Low Income,Television,Market Average TV,2022,2041,1,1,linear,Residential
Single Family Low Income,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,2022,2041,1,1,linear,Residential
Single Family Low Income,Waste Water,Waste Water Equipment End Use,2022,2041,1,1,linear,Residential
Single Family Low Income,Water Heat GT 55 Gal,Federal Standard 2015 Heat Pump Water Heater,2022,2041,1,1,linear,Residential
Single Family Low Income,Water Heat LE 55 Gal,Federal Standard 2015 Storage Water Heater,2022,2041,1,1,linear,Residential
